,date,tavg,tmin,tmax,prcp,pres
2,20120103,21.2,12.9,28.0,0.0,1027.0
3,20120104,33.3,26.1,41.0,0.0,1016.3
4,20120105,38.5,25.0,50.0,0.0,1012.5
5,20120106,47.5,42.1,55.9,0.0,1006.5
6,20120107,37.8,27.0,45.0,0.0,1017.3
7,20120108,32.0,23.0,42.1,0.0,1027.2
8,20120109,36.7,24.1,46.9,0.0,1019.4
9,20120110,38.7,26.1,52.0,0.0,1014.8
10,20120111,37.9,27.0,53.1,0.0,1004.2
14,20120115,24.3,12.0,33.1,0.0,1025.3
17,20120118,19.8,10.9,27.0,0.0,1021.9
23,20120124,31.8,26.1,37.0,0.0,1022.2
24,20120125,30.0,23.0,37.0,0.0,1025.4
29,20120130,38.7,21.0,53.1,0.0,1015.4
31,20120201,39.6,30.9,48.0,0.0,1019.0
32,20120202,36.0,30.0,43.0,0.0,1026.2
33,20120203,36.3,33.1,39.0,0.0,1031.5
34,20120204,37.0,30.0,39.9,0.0,1025.8
36,20120206,31.8,28.9,35.1,0.0,1022.4
41,20120211,15.1,10.0,19.9,0.0,1028.3
42,20120212,25.2,16.0,36.0,0.0,1026.7
47,20120217,38.3,25.0,48.9,0.0,1019.3
49,20120219,28.9,21.9,37.0,0.0,1023.7
50,20120220,32.7,19.9,44.1,0.0,1022.9
55,20120225,24.4,19.9,28.0,0.0,1022.2
56,20120226,35.4,16.0,52.0,0.0,1021.0
57,20120227,33.6,26.1,41.0,0.0,1026.7
64,20120305,29.5,19.0,37.9,0.0,1025.4
65,20120306,51.8,32.0,69.1,0.0,1016.6
66,20120307,62.1,55.9,68.0,0.0,1012.2
68,20120309,34.3,28.9,39.0,0.0,1031.5
69,20120310,44.4,28.0,61.0,0.0,1027.8
72,20120313,58.5,48.9,71.1,0.0,1017.2
73,20120314,65.5,44.1,82.0,0.0,1015.2
75,20120316,58.5,45.0,80.1,0.0,1017.4
76,20120317,70.2,57.9,81.0,0.0,1017.0
77,20120318,70.9,61.0,82.0,0.0,1015.8
79,20120320,75.9,66.9,84.9,0.0,1014.9
80,20120321,74.1,64.9,84.9,0.0,1017.5
81,20120322,69.1,57.0,82.9,0.291,1017.8
84,20120325,55.8,46.0,68.0,0.0,1017.4
86,20120327,56.3,41.0,73.9,0.0,1017.2
87,20120328,60.1,46.9,66.9,0.0,1011.9
88,20120329,42.6,39.0,46.0,0.0,1019.9
92,20120402,52.7,46.0,57.9,0.0,1012.7
93,20120403,54.1,46.9,64.9,0.0,1012.6
94,20120404,49.6,46.0,55.9,0.0,1015.4
95,20120405,43.3,39.9,46.9,0.0,1018.7
96,20120406,43.0,33.1,51.1,0.0,1025.5
100,20120410,39.6,34.0,44.1,0.0,1019.3
101,20120411,41.4,30.9,51.1,0.0,1024.9
102,20120412,47.7,33.1,62.1,0.0,1024.0
103,20120413,54.1,39.0,66.0,0.0,1021.0
107,20120417,46.6,39.0,53.1,0.0,1027.3
112,20120422,46.4,42.1,52.0,0.0,1018.7
113,20120423,47.1,36.0,57.0,0.0,1015.7
114,20120424,50.9,34.0,63.0,0.0,1007.9
116,20120426,47.7,39.0,54.0,0.0,1013.2
117,20120427,43.5,36.0,50.0,0.0,1024.2
123,20120503,76.8,66.0,86.0,0.0,1011.5
130,20120510,55.0,43.0,64.0,0.0,1016.3
131,20120511,64.2,44.1,79.0,0.0,1018.9
133,20120513,59.9,51.1,69.1,0.0,1023.3
134,20120514,63.3,44.1,80.1,0.0,1018.5
136,20120516,56.3,50.0,62.1,0.0,1019.1
137,20120517,58.1,44.1,69.1,0.0,1020.6
138,20120518,66.0,48.9,82.0,0.0,1017.3
139,20120519,72.9,55.9,90.0,0.0,1016.4
142,20120522,56.8,45.0,66.0,0.0,1017.8
143,20120523,64.0,45.0,81.0,0.0,1011.3
144,20120524,77.5,64.0,89.1,0.0,1005.6
147,20120527,80.8,66.0,93.9,0.0,1013.1
148,20120528,84.2,75.9,91.9,0.0,1007.5
149,20120529,73.9,64.9,82.9,0.0,1009.2
150,20120530,58.6,51.1,64.0,0.0,1013.2
153,20120602,63.7,46.9,73.9,0.0,1007.4
154,20120603,69.8,57.0,79.0,0.0,1009.6
156,20120605,60.6,55.9,66.0,0.0,1016.6
157,20120606,62.2,51.1,73.0,0.0,1018.9
158,20120607,66.4,51.1,79.0,0.0,1019.9
159,20120608,73.0,53.1,84.9,0.0,1016.4
160,20120609,78.4,66.9,88.0,0.0,1012.6
161,20120610,80.1,66.0,90.0,0.0,1012.9
162,20120611,79.7,71.1,88.0,0.0,1010.2
163,20120612,68.4,59.0,75.9,0.0,1016.5
164,20120613,61.7,53.1,68.0,0.0,1022.1
165,20120614,68.9,53.1,82.0,0.0,1019.3
166,20120615,76.6,59.0,90.0,0.0,1017.8
169,20120618,82.2,66.9,93.0,0.0,1006.5
170,20120619,85.3,77.0,91.9,0.0,1012.2
171,20120620,85.3,78.1,91.9,0.0,1013.9
173,20120622,73.2,62.1,82.0,0.0,1015.4
174,20120623,73.0,62.1,82.0,0.0,1016.3
175,20120624,75.7,64.0,89.1,0.0,1015.0
